"","species","body_mass_g"
"1","Adelie Penguin (Pygoscelis adeliae)",3750
"2","Adelie Penguin (Pygoscelis adeliae)",3800
"3","Adelie Penguin (Pygoscelis adeliae)",3250
"4","Adelie Penguin (Pygoscelis adeliae)",3450
"5","Adelie Penguin (Pygoscelis adeliae)",3650
"6","Adelie Penguin (Pygoscelis adeliae)",3625
"7","Adelie Penguin (Pygoscelis adeliae)",4675
"8","Adelie Penguin (Pygoscelis adeliae)",3475
"9","Adelie Penguin (Pygoscelis adeliae)",4250
"10","Adelie Penguin (Pygoscelis adeliae)",3300
"11","Adelie Penguin (Pygoscelis adeliae)",3700
"12","Adelie Penguin (Pygoscelis adeliae)",3200
"13","Adelie Penguin (Pygoscelis adeliae)",3800
"14","Adelie Penguin (Pygoscelis adeliae)",4400
"15","Adelie Penguin (Pygoscelis adeliae)",3700
"16","Adelie Penguin (Pygoscelis adeliae)",3450
"17","Adelie Penguin (Pygoscelis adeliae)",4500
"18","Adelie Penguin (Pygoscelis adeliae)",3325
"19","Adelie Penguin (Pygoscelis adeliae)",4200
"20","Adelie Penguin (Pygoscelis adeliae)",3400
"21","Adelie Penguin (Pygoscelis adeliae)",3600
"22","Adelie Penguin (Pygoscelis adeliae)",3800
"23","Adelie Penguin (Pygoscelis adeliae)",3950
"24","Adelie Penguin (Pygoscelis adeliae)",3800
"25","Adelie Penguin (Pygoscelis adeliae)",3800
"26","Adelie Penguin (Pygoscelis adeliae)",3550
"27","Adelie Penguin (Pygoscelis adeliae)",3200
"28","Adelie Penguin (Pygoscelis adeliae)",3150
"29","Adelie Penguin (Pygoscelis adeliae)",3950
"30","Adelie Penguin (Pygoscelis adeliae)",3250
"31","Adelie Penguin (Pygoscelis adeliae)",3900
"32","Adelie Penguin (Pygoscelis adeliae)",3300
"33","Adelie Penguin (Pygoscelis adeliae)",3900
"34","Adelie Penguin (Pygoscelis adeliae)",3325
"35","Adelie Penguin (Pygoscelis adeliae)",4150
"36","Adelie Penguin (Pygoscelis adeliae)",3950
"37","Adelie Penguin (Pygoscelis adeliae)",3550
"38","Adelie Penguin (Pygoscelis adeliae)",3300
"39","Adelie Penguin (Pygoscelis adeliae)",4650
"40","Adelie Penguin (Pygoscelis adeliae)",3150
"41","Adelie Penguin (Pygoscelis adeliae)",3900
"42","Adelie Penguin (Pygoscelis adeliae)",3100
"43","Adelie Penguin (Pygoscelis adeliae)",4400
"44","Adelie Penguin (Pygoscelis adeliae)",3000
